2118,103,4.82,4.85,4.79,4.83,4.83,4.83,4.76
2119,6,3.67,4,3,4.8,4.6,4.8,4.2
2120,59,4.8,4.76,4.92,4.84,5,4.98,4.67
2121,2,4.5,4,4,5,5,5,5
2122,2,5,5,4.5,5,5,5,5
2123,0,0,0,0,0,0,0,0
2124,0,0,0,0,0,0,0,0
2125,5,4.8,5,4.4,5,4.8,5,4.75
2126,15,4.73,4.53,4.73,4.93,5,4.4,4.73
2127,94,4.63,4.56,4.69,4.85,4.97,4.87,4.61
2128,9,4,4.44,4.78,4.11,4.33,3.44,3.67
2129,317,4.83,4.89,4.73,4.95,4.94,4.73,4.78
2130,2,4.5,5,5,5,5,4,4.5
2131,9,4.78,5,5,4.88,5,4.67,4.89
2132,2,4.5,4.5,4.5,5,5,4.5,4.5
2133,0,0,0,0,0,0,0,0
2134,41,4.78,4.85,4.71,4.95,4.98,4.51,4.78
2135,7,4.71,4.43,4.86,4.57,4.57,4.57,4.57
2136,14,4.29,4.57,3.71,4.71,4.79,4.79,4.57
2137,0,0,0,0,0,0,0,0
2138,0,0,0,0,0,0,0,0
2139,217,4.88,4.93,4.86,4.93,4.95,4.91,4.9
2140,3,4.67,5,5,5,4.67,4.67,5
2141,7,4.86,4.86,4.57,4.71,4.86,5,4.43
2142,52,4.88,4.85,4.73,4.88,4.87,4.6,4.85
2143,94,4.95,4.96,4.99,4.97,4.96,4.97,4.93
2144,138,4.87,4.91,4.96,4.88,4.84,4.61,4.75
2145,53,4.94,4.94,4.78,4.96,5,4.85,4.81
2146,7,4.43,4.57,4.43,4.43,4.43,4.57,4.43
2147,16,4.75,4.94,4.94,4.94,5,5,4.88
2148,235,4.71,4.83,4.61,4.91,4.91,4.87,4.78
2149,28,4.82,4.79,4.93,4.96,4.89,4.79,4.64
2150,122,4.85,4.94,4.92,4.93,4.93,4.43,4.85
2151,165,4.75,4.87,4.83,4.98,4.96,4.88,4.78
2152,57,4.3,4.79,4.05,4.48,4.57,4.64,4.46
2153,38,4.82,4.82,4.68,4.89,4.89,4.92,4.81
2154,8,4.13,4.38,3.63,4.75,4.75,4.75,4.38
2155,297,4.92,4.93,4.9,4.98,4.97,4.6,4.88
2156,4,5,5,4.75,5,5,5,5
2157,88,4.66,4.67,4.53,4.86,4.93,4.47,4.61
2158,10,4.5,4.6,3.8,5,5,4.9,4.3
2159,8,5,4.88,4.75,4.63,4.63,4.5,4.88
2160,145,4.72,4.88,4.83,4.78,4.76,4.66,4.63
2161,0,0,0,0,0,0,0,0
2162,29,4.79,4.86,4.83,5,4.97,5,4.69
2163,23,4.87,4.87,4.87,4.91,5,4.87,4.57
2164,30,4.83,4.9,4.73,4.9,4.9,5,4.6
2165,15,4.8,4.73,4.93,4.73,4.93,4.73,4.33
2166,0,0,0,0,0,0,0,0
2167,1,5,5,5,5,5,4,5
2168,26,4.77,4.62,4.42,4.81,4.88,4.92,4.46
2169,38,4.87,4.95,5,4.92,4.92,4.95,4.79
2170,13,4.77,4.85,4.85,5,5,4.77,4.77
2171,1,5,5,5,5,5,5,5
2172,4,4.75,5,4.25,5,5,5,5
2173,1,4,5,4,5,5,5,4
2174,11,4.73,4.91,4.91,4.73,4.82,5,4.64
2175,1,5,5,5,5,5,5,5
2176,10,4.9,4.9,4.8,4.9,4.9,5,4.8
2177,15,4.47,4.53,4.33,4.53,4.47,4.67,4.07
2178,22,4.95,5,5,5,5,4.86,5
2179,0,0,0,0,0,0,0,0
2180,2,5,5,5,5,5,5,5
2181,5,5,5,4.8,4.8,5,5,5
2182,8,5,4.75,4.88,4.88,4.88,5,4.75
2183,0,0,0,0,0,0,0,0
2184,95,4.64,4.69,4.76,4.84,4.82,4.25,4.66
2185,23,4.61,4.74,4.26,4.95,4.96,4.96,4.65
2186,2,4,4.5,4.5,4.5,4.5,4,4
2187,91,4.78,4.82,4.78,4.91,4.93,4.32,4.84
2188,211,4.39,4.61,4.5,4.65,4.67,4.63,4.45
2189,295,4.41,4.58,4.49,4.57,4.69,4.65,4.53
2190,5,5,4.8,5,5,5,5,4.8
2191,4,4.75,4.75,4.75,5,5,4.5,4.5
2192,18,4.94,5,4.83,5,5,4.83,4.94
2193,7,4.57,4.86,4.57,5,4.86,4.14,4.29
2194,21,4.95,4.86,4.95,4.86,5,4.57,4.9
2195,24,4.58,4.63,4.33,4.75,4.79,4.71,4.46
2196,10,4.9,4.9,4.9,5,5,5,5
2197,183,4.77,4.83,4.92,4.86,4.83,4.48,4.76
2198,10,4.9,5,4.9,5,5,5,5
2199,60,4.7,4.72,4.67,4.62,4.62,4.9,4.63
2200,25,4.84,4.8,4.88,5,4.88,4.96,4.76
2201,109,4.49,4.61,4.37,4.89,4.91,4.59,4.47
2202,105,4.87,4.85,4.92,4.92,4.91,4.8,4.83
2203,31,4.77,4.94,5,4.81,4.65,4.65,4.58
2204,29,4.97,4.93,4.93,5,4.79,4.86,4.9
2205,11,4.18,4.27,4.55,4.6,4.82,4.1,4.4
2206,156,4.64,4.84,4.55,4.83,4.68,4.44,4.65
2207,0,0,0,0,0,0,0,0
2208,3,4.67,4.67,4.33,4.67,5,4.5,4.67
2209,0,0,0,0,0,0,0,0
2210,18,4.44,4.61,4.11,4.72,4.72,4.94,4.17
2211,21,4.76,4.9,4.76,4.95,4.9,5,4.86
2212,60,4.22,4.13,4.18,4.67,4.8,4.43,4.15
2213,0,0,0,0,0,0,0,0
2214,0,0,0,0,0,0,0,0
2215,19,4.79,4.84,4.95,5,5,4.89,4.74
